2513,fields=23,orig=13858,1784571483,4310,15,15.0,5,5.0,247.5,-0.9238795325112868,-0.3826834323650895,4,12500,0,2,4.273333333333333,1023.6333333333332,0.6692903895412567,-0.7430009249440493,0.49999999999999994,-0.8660254037844387,1,249,0
2514,fields=23,orig=13858,1784571483,4310,15,15.0,5,5.0,247.5,-0.9238795325112868,-0.3826834323650895,4,12500,0,2,4.273333333333333,1023.6333333333332,0.6692903895412567,-0.7430009249440493,0.49999999999999994,-0.8660254037844387,1,271,0
2515,fields=23,orig=13858,1784571483,4310,15,15.0,5,5.0,247.5,-0.9238795325112868,-0.3826834323650895,4,12500,0,2,4.273333333333333,1023.6333333333332,0.6692903895412567,-0.7430009249440493,0.49999999999999994,-0.8660254037844387,1,273,0
2571,fields=23,orig=13856,1784571484,4310,13,13.0,4,4.0,180.0,1.2246467991473532E-16,-1.0,8,12500,0,1,4.273333333333333,1023.6333333333332,0.6819721490904629,-0.7313781428679254,0.7071067811865476,-0.7071067811865475,1,20,2
2572,fields=23,orig=13856,1784571484,4310,13,13.0,4,4.0,180.0,1.2246467991473532E-16,-1.0,8,12500,0,1,4.273333333333333,1023.6333333333332,0.6819721490904629,-0.7313781428679254,0.7071067811865476,-0.7071067811865475,1,28,1
2573,fields=23,orig=13856,1784571484,4310,13,13.0,4,4.0,180.0,1.2246467991473532E-16,-1.0,8,12500,0,1,4.273333333333333,1023.6333333333332,0.6819721490904629,-0.7313781428679254,0.7071067811865476,-0.7071067811865475,1,29,1
2574,fields=23,orig=13856,1784571484,4310,13,13.0,4,4.0,180.0,1.2246467991473532E-16,-1.0,8,12500,0,1,4.273333333333333,1023.6333333333332,0.6819721490904629,-0.7313781428679254,0.7071067811865476,-0.7071067811865475,1,34,1
2575,fields=23,orig=13856,1784571484,4310,13,13.0,4,4.0,180.0,1.2246467991473532E-16,-1.0,8,12500,0,1,4.273333333333333,1023.6333333333332,0.6819721490904629,-0.7313781428679254,0.7071067811865476,-0.7071067811865475,1,34,1
2576,fields=23,orig=13856,1784571484,4310,13,13.0,4,4.0,180.0,1.2246467991473532E-16,-1.0,8,12500,0,1,4.273333333333333,1023.6333333333332,0.6819721490904629,-0.7313781428679254,0.7071067811865476,-0.7071067811865475,1,95,1
2577,fields=23,orig=13856,1784571484,4310,13,13.0,4,4.0,180.0,1.2246467991473532E-16,-1.0,8,12500,0,1,4.273333333333333,1023.6333333333332,0.6819721490904629,-0.7313781428679254,0.7071067811865476,-0.7071067811865475,1,95,1
2578,fields=23,orig=13856,1784571484,4310,13,13.0,4,4.0,180.0,1.2246467991473532E-16,-1.0,8,12500,0,1,4.273333333333333,1023.6333333333332,0.6819721490904629,-0.7313781428679254,0.7071067811865476,-0.7071067811865475,1,203,1
2579,fields=23,orig=13856,1784571484,4310,13,13.0,4,4.0,180.0,1.2246467991473532E-16,-1.0,8,12500,0,1,4.273333333333333,1023.6333333333332,0.6819721490904629,-0.7313781428679254,0.7071067811865476,-0.7071067811865475,1,237,1
2580,fields=23,orig=13856,1784571484,4310,13,13.0,4,4.0,180.0,1.2246467991473532E-16,-1.0,8,12500,0,1,4.273333333333333,1023.6333333333332,0.6819721490904629,-0.7313781428679254,0.7071067811865476,-0.7071067811865475,1,249,7
2581,fields=23,orig=13856,1784571484,4310,13,13.0,4,4.0,180.0,1.2246467991473532E-16,-1.0,8,12500,0,1,4.273333333333333,1023.6333333333332,0.6819721490904629,-0.7313781428679254,0.7071067811865476,-0.7071067811865475,1,249,21
