184;terekruiter;Terekrtr;terekruiter
185;oeverloper;Oeverl;oeverloper
187;steenloper;Steenl;steenloper
190;rosse franjepoot;RosseFra;rosse franjepoot
191;middelste jager;MidJag;middelste jager
192;kleine jager;KleJag;kleine jager
193;kleinste jager;KlstJag;kleinste jager
194;grote jager;GroJag;grote jager
196;zwartkopmeeuw;ZwartKmee;zwartkopmeeuw;wat komt weer;word kopmeeuw;zwart opmeel;wat komt mail;zwartkop mio;wat komt nieuw;zwartkotmail
197;dwergmeeuw;Dwergm;dwergmeeuw
198;vorkstaartmeeuw;Vorkstm;vorkstaartmeeuw
200;kokmeeuw;Kok;cockmail;cognieuw;cocknee;cocktail;kokmeo;hotmail;cockney;cocknieuw;kogneel;kognieuw;rock meal;cochmeel;coquill;cognael;cochmeo;koekmeel;kookmeel;cockneeuw;cockbio
202;stormmeeuw;Storm;stormmeeuw
203;kleine mantelmeeuw;KlMantel;kleine mantel;kleine mantelmeel;trainermantel;leende mantel;leenemanthof;leena man;rené mantel;kleine manto;kleine man;kleine man door;kleine mantel mew
206;zilvermeeuw;Zilverm;zilvermeel;zilvermail;zilvermio;zilvermeo;zilvernieuwd;wel vernieuw;zilverniel;zelf vermeeuw
207;kleine burgemeester;KleBurgm;kleine burgemeester
208;grote burgemeester;GrBurg;grote burgemeester
209;grote mantelmeeuw;GrMant;grote mantelmeeuw
211;drieteenmeeuw;DrieteenM;trydactyla
213;lachstern;Lachstern;lachstern
214;reuzenstern;Reuzenst;reuzenstern
215;grote stern;GrStern;grote sterren
217;visdief;VisDf;visdief
218;noordse stern;NoStern;noordse stern
220;dwergstern;Dwergst;dwergstern
221;witwangstern;Witwngstrn;witwangstern
222;zwarte stern;ZwStern;zwarte stern
224;zeekoet;Zeekoet;zeekoet
226;alk;Alk;alk
228;kleine alk;KleAlk;kleine alk
232;holenduif;Holend;holenduif
233;houtduif;Houtd;houtteuf;goedteuf;goedduif;houteuf
234;turkse tortel;TuTo;turkse tortel
235;zomertortel;Zmrtortel;zomertortel
237;koekoek;Koekoek;koekoek
245;ransuil;Ransuil;ransuil
246;velduil;Velduil;velduil
249;gierzwaluw;Gierzw;giertjes;hier zwaluw;dierzwaluw;heerswaluw;vier zwaluw;huurtjes;sierswaluw
250;Alpengierzwaluw;Alpengierzwaluw;alpengierzwaluw
251;ijsvogel;IJsvogel;ijsvogel
254;bijeneter;Bijeneter;bijeneter
256;hop;Hop;hop
257;draaihals;Draaihals;draaihals
259;groene specht;GroenSp;groene specht
260;zwarte specht;ZwSpecht;zwarte specht
261;grote bonte specht;GrBonSp;grote bonte specht
262;middelste bonte specht;MidBoSp;middelste bonte specht
263;kleine bonte specht:klbonte;KlBonte;kleine bonte specht
266;kuifleeuwerik;Kuiflee;kuifleeuwerik
267;boomleeuwerik;Booml;boomleeuwerik
268;veldleeuwerik;Veldl;veldleeuwerik
269;strandleeuwerik;Strandlee;strandleeuwerik
270;oeverzwaluw;Oeverzw;oevertje;oevertjes
271;boerenzwaluw;Boer;boertjes;boeren zwaluw;bordjes;boerswaluw;boerendwaluw;boerendwoluw;boerenswoud;hoedjes;oertjes;voedingswaluw
272;roodstuitzwaluw;Roodstuizw;roodstuitzwaluw
273;huiszwaluw;HuisZw;huisjes
274;grote pieper;GroPiep;grote pieper
275;duinpieper;Duinpi;duinpieper
276;Siberische Boompieper;Siberische Boompieper;siberische boompieper
277;boompieper;Boomp;boompieper
278;graspieper;Grasp;graspier;gras pieper;graspoeper
279;roodkeelpieper;Roodkpiep;roodkeelpieper
280;waterpieper;Waterp;waterpieper
281;gele kwikstaart spec;GeleKwikSpec;gele kwikstaart spec.
282;gele kwikstaart;GeleKwik;gele kwik;gele quick;heerlijk wegstart
283;engelse kwikstaart;EngGele;engelse kwikstaart
284;noordse kwikstaart;NrdseKwik;noordse kwikstaart
287;grote gele kwikstaart;GrGeleKw;grote gele;grote gele quick;grote heerlijk wegstaart;grote gele kwekstaart
288;witte kwikstaart spec;WitKwiSpec;witte kwikstaart spec.
289;witte kwikstaart;WitteKwik;witte kwikstaart
290;rouwkwikstaart;RouwKwik;rouwkwikstaart
291;pestvogel;Pestv;pestvogel
293;winterkoning;Winterk;winterkoning
294;heggenmus;Heggen;heggenmus
296;roodborst;Roodborst;roodborst
298;nachtegaal;Nachtegaal;nachtegaal
299;blauwborst;BlaBorst;blauwborst
303;zwarte roodstaart;ZwRoods;zwarte roodstaart
