101;buizerd;Buizerd;;;;;;;;;;;;;;;;;;;
109;visarend;VisA;visa;;;;;;;;;;;;;;;;;;
110;torenvalk;TorenV;boerenwolk;boerenwalk;toerenwalk;toerenwolk;;;;;;;;;;;;;;;
112;smelleken;Smel;smelleken;;;;;;;;;;;;;;;;;;
113;boomvalk;Boomvalk;;;;;;;;;;;;;;;;;;;
115;slechtvalk;Slechtv;;;;;;;;;;;;;;;;;;;
119;patrijs;Patrijs;;;;;;;;;;;;;;;;;;;
120;kwartel;Kwartel;;;;;;;;;;;;;;;;;;;
122;waterral;Waterra;;;;;;;;;;;;;;;;;;;
127;waterhoen;Waterhoen;;;;;;;;;;;;;;;;;;;
128;meerkoet;Meerkoet;;;;;;;;;;;;;;;;;;;
129;kraanvogel;Kraanv;kraantjes;kraantje;;;;;;;;;;;;;;;;;
133;scholekster;Schol;vollekster;schol;;;;;;;;;;;;;;;;;
134;steltkluut;Steltklu;;;;;;;;;;;;;;;;;;;
135;kluut;Kluut;kluutjes;ludw;;;;;;;;;;;;;;;;;
136;griel;Griel;;;;;;;;;;;;;;;;;;;
140;kleine plevier;KlPlev;;;;;;;;;;;;;;;;;;;
141;bontbekplevier;Bontbek;bombak profiel;bombak profir;bombak profijer;bonbak profiel;bombak profijt;;;;;;;;;;;;;;
142;strandplevier;Strandplvr;;;;;;;;;;;;;;;;;;;
145;goudplevier;Goudpl;goedplevier;houtplevier;oud plevier;oed plevier;;;;;;;;;;;;;;;
147;zilverplevier;Zilverpl;zilvers;;;;;;;;;;;;;;;;;;
150;kievit;Kievit;kieviten;;;;;;;;;;;;;;;;;;
151;kanoet;Kanoet;;;;;;;;;;;;;;;;;;;
152;drieteenstrandloper;Drietstra;;;;;;;;;;;;;;;;;;;
154;kleine strandloper;KlStrand;;;;;;;;;;;;;;;;;;;
155;temmincks strandloper;TemmStrlpr;;;;;;;;;;;;;;;;;;;
159;krombekstrandloper;Krombek;;;;;;;;;;;;;;;;;;;
160;paarse strandloper;PaarseS;;;;;;;;;;;;;;;;;;;
161;bonte strandloper;BonteStra;bontjes;boentjes;boontjes;bonjes;;;;;;;;;;;;;;;
165;kemphaan:Kemph;;;;;;;;;;;;;;;;;;;;
166;bokje;Bokje;;;;;;;;;;;;;;;;;;;
167;watersnip;WaterSn;;;;;;;;;;;;;;;;;;;
170;houtsnip;Houtsnip;;;;;;;;;;;;;;;;;;;
171;grutto;Grutto;;;;;;;;;;;;;;;;;;;
172;rosse grutto;RosseGr;roste grutto;;;;;;;;;;;;;;;;;;
173;regenwulp;Regenw;regenwelp;regenwulpen;;;;;;;;;;;;;;;;;
175;wulp;Wulp;hulp;tulp;;;;;;;;;;;;;;;;;
176;zwarte ruiter;ZwRuiter;;;;;;;;;;;;;;;;;;;
177;tureluur;Turel;tuutjes;tutjes;;;;;;;;;;;;;;;;;
180;groenpootruiter;Groenp;;;;;;;;;;;;;;;;;;;
182;witgat;Witgat;;;;;;;;;;;;;;;;;;;
183;bosruiter;Bosruit;;;;;;;;;;;;;;;;;;;
184;terekruiter;Terekrtr;;;;;;;;;;;;;;;;;;;
185;oeverloper;Oeverl;;;;;;;;;;;;;;;;;;;
187;steenloper;Steenl;;;;;;;;;;;;;;;;;;;
190;rosse franjepoot;RosseFra;;;;;;;;;;;;;;;;;;;
191;middelste jager;MidJag;;;;;;;;;;;;;;;;;;;
192;kleine jager;KleJag;;;;;;;;;;;;;;;;;;;
193;kleinste jager;KlstJag;;;;;;;;;;;;;;;;;;;
194;grote jager;GroJag;;;;;;;;;;;;;;;;;;;
196;zwartkopmeeuw;ZwartKmee;zwartkopmeeuw;wat komt weer;word kopmeeuw;zwart opmeel;wat komt mail;zwartkop mio;wat komt nieuw;zwartkotmail;;;;;;;;;;;
197;dwergmeeuw;Dwergm;;;;;;;;;;;;;;;;;;;
198;vorkstaartmeeuw;Vorkstm;;;;;;;;;;;;;;;;;;;
200;kokmeeuw;Kok;cockmail;cognieuw;cocknee;cocktail;kokmeo;hotmail;cockney;cocknieuw;kogneel;kognieuw;rock meal;cochmeel;coquill;cognael;cochmeo;koekmeel;kookmeel;cockneeuw;cockbio
202;stormmeeuw;Storm;;;;;;;;;;;;;;;;;;;
203;kleine mantelmeeuw;KlMantel;kleine mantel;kleine mantelmeel;trainermantel;leende mantel;leenemanthof;leena man;rené mantel;kleine manto;kleine man;kleine man door;kleine mantel mew;;;;;;;;
206;zilvermeeuw;Zilverm;zilvermeel;zilvermail;zilvermio;zilvermeo;zilvernieuwd;wel vernieuw;zilverniel;zelf vermeeuw;;;;;;;;;;;
207;kleine burgemeester;KleBurgm;;;;;;;;;;;;;;;;;;;
208;grote burgemeester;GrBurg;;;;;;;;;;;;;;;;;;;
209;grote mantelmeeuw;GrMant;;;;;;;;;;;;;;;;;;;
211;drieteenmeeuw;DrieteenM;trydactyla;;;;;;;;;;;;;;;;;;
213;lachstern;Lachstern;;;;;;;;;;;;;;;;;;;
214;reuzenstern;Reuzenst;;;;;;;;;;;;;;;;;;;
215;grote stern;GrStern;grote sterren;;;;;;;;;;;;;;;;;;
217;visdief;VisDf;;;;;;;;;;;;;;;;;;;
218;noordse stern;NoStern;;;;;;;;;;;;;;;;;;;
220;dwergstern;Dwergst;;;;;;;;;;;;;;;;;;;
221;witwangstern;Witwngstrn;;;;;;;;;;;;;;;;;;;
222;zwarte stern;ZwStern;;;;;;;;;;;;;;;;;;;
224;zeekoet;Zeekoet;;;;;;;;;;;;;;;;;;;
226;alk;Alk;;;;;;;;;;;;;;;;;;;
228;kleine alk;KleAlk;;;;;;;;;;;;;;;;;;;
232;holenduif;Holend;;;;;;;;;;;;;;;;;;;
233;houtduif;Houtd;houtteuf;goedteuf;goedduif;houteuf;;;;;;;;;;;;;;;
234;turkse tortel;TuTo;;;;;;;;;;;;;;;;;;;
235;zomertortel;Zmrtortel;;;;;;;;;;;;;;;;;;;
237;koekoek;Koekoek;;;;;;;;;;;;;;;;;;;
245;ransuil;Ransuil;;;;;;;;;;;;;;;;;;;
246;velduil;Velduil;;;;;;;;;;;;;;;;;;;
249;gierzwaluw;Gierzw;giertjes;hier zwaluw;dierzwaluw;heerswaluw;vier zwaluw;huurtjes;sierswaluw;;;;;;;;;;;;
251;ijsvogel;IJsvogel;;;;;;;;;;;;;;;;;;;
254;bijeneter;Bijeneter;;;;;;;;;;;;;;;;;;;
256;hop;Hop;;;;;;;;;;;;;;;;;;;
257;draaihals;Draaihals;;;;;;;;;;;;;;;;;;;
259;groene specht;GroenSp;;;;;;;;;;;;;;;;;;;
260;zwarte specht;ZwSpecht;;;;;;;;;;;;;;;;;;;
261;grote bonte specht;GrBonSp;;;;;;;;;;;;;;;;;;;
262;middelste bonte specht;MidBoSp;;;;;;;;;;;;;;;;;;;
263;kleine bonte specht:KlBonte;;;;;;;;;;;;;;;;;;;;
266;kuifleeuwerik;Kuiflee;;;;;;;;;;;;;;;;;;;
267;boomleeuwerik;Booml;;;;;;;;;;;;;;;;;;;
268;veldleeuwerik;Veldl;;;;;;;;;;;;;;;;;;;
269;strandleeuwerik;Strandlee;;;;;;;;;;;;;;;;;;;
270;oeverzwaluw;Oeverzw;oevertje;oevertjes;;;;;;;;;;;;;;;;;
271;boerenzwaluw;Boer;boertjes;boeren zwaluw;bordjes;boerswaluw;boerendwaluw;boerendwoluw;boerenswoud;hoedjes;oertjes;voedingswaluw;;;;;;;;;
272;roodstuitzwaluw;Roodstuizw;;;;;;;;;;;;;;;;;;;
273;huiszwaluw;HuisZw;huisjes;;;;;;;;;;;;;;;;;;
274;grote pieper;GroPiep;;;;;;;;;;;;;;;;;;;
275;duinpieper;Duinpi;;;;;;;;;;;;;;;;;;;
